ID,Work Item Type,Title,State,Priority,Acceptance Criteria
"18","User Story","As a player, I want to be notified about the outcome of a match ","Active","4","<div>-Both players messages upon match completion</div><div>-Match status updated in player history</div>"
"20","Task","Implement basic Legan chess engine","Closed","2",
"21","Task","Design database schema for chess engine","Closed","2",
"22","Task","Create Database","Closed","2",
"23","Task","Design Legan chess game engine","Closed","2",
"25","Task","Implement match UI/visuals","Closed","2",
"28","Task","Implement API for adding a registered user","Closed","2",
"38","Task","Create service/repository to retrieve match state","Closed","2",
"40","Task","Create/Update UI","Closed","2",
"41","Task","Service/repo to save state of match ","New","2",
"43","Task","Create/Update UI","Closed","2",
"45","Task","Update/Create DB entity for Match","Closed","2",
"46","Task","Create UI for match creation","Closed","2",
"48","Task","Design DB changes for Match","Closed","2",
"51","Task","ChessPiece Class Diagram","Closed","2",
"52","Task","User Class Diagram","Closed","2",
"54","Task","ChessBoard Class Diagram","Closed","2",
"55","Task","Match Class Diagram","Closed","2",
"56","Task","Message Class Diagram","Closed","2",
"57","Task","ChessPiece CRC Diagram","Closed","2",
"58","Task","User CRC Diagram","Closed","2",
"59","Task","ChessBoard CRC Diagram","Closed","2",
"60","Task","Match CRC Diagram","Closed","2",
"61","Task","Message CRC Diagram","Closed","2",
"62","Task","Create UI for viewing notifications","New","2",
"63","Task","Create UI for accepting a match invitation","New","2",
"66","Task","create reject button that deactivates the invitation","New","2",
"67","Task","message creation service","New","2",
"69","Task","implement confirmation popup","New","2",
"70","Task","soft delete user from DB","Active","2",
"72","Task","MatchRecord CRC Diagram","Closed","2",
"73","Task","MatchRecord Class Diagram","Closed","2",
"74","Task","Implement login service","Closed","2",
"79","Task","Create forfeit button","Active","3",
"80","Task","Report a game concession that updates player stats","New","2",
"81","Task","Create tab or window for profile","New","2",
"83","Task","Request player info when profile page loads","New","2",
"85","Task","Set up React project","Closed","2",
"86","Task","Set up Spring MVC skeleton","Closed","2",
"87","Task","Integrate Hibernate into project","Closed","2",
"88","Task","Create React views for Match Selection","Active","2",
"89","Task","Create React View for Log In & Registration","Closed","2",
"90","Task","Add search capability to match creation UI","Active","2",
"91","Task","Create player search service","Closed","2",
"92","Task","Create match creation service","Closed","2",
"93","Task","Create service for accepting a match invitation","Closed","2",
"94","Task","Logout UI","Active","2",
"95","Task","Service to retrieve all notifications","Closed","2",
"96","Task","Alter the King's moves to avoid being put in check","New","2",
"97","Task","Determine if a player is in check","New","2",
"98","Task","Determine legal moves to take a king out of check (All pieces)","New","2",
"99","Task","Service to check for a piece's legal moves","New","2",
"100","Task","Service to make a 'move'","New","2",
"101","Task","Hook up front end login to backend service","Closed","2",
"102","Task","initialize starting board","Active","2",
